match_id,competition,season,period,minute,is_shootout,shootout_kick_order,team,kicker,kicker_id,body_part,outcome,end_y,direction
3922240,African Cup of Nations,2023,5,124,True,3.0,Congo DR,Grady Diangana,18244.0,Left Foot,Goal,40.8,C
3922240,African Cup of Nations,2023,5,125,True,5.0,Egypt,Omar Kamal Abdel Wahed,70783.0,Right Foot,Goal,42.3,L
3922240,African Cup of Nations,2023,5,126,True,4.0,Congo DR,Silas Katompa Mvumpa,13329.0,Right Foot,Goal,43.7,L
3922240,African Cup of Nations,2023,5,127,True,6.0,Egypt,Mohamed Hany Gamal Eldemerdash,66892.0,Right Foot,Goal,43.5,L
3922240,African Cup of Nations,2023,5,127,True,5.0,Congo DR,Aaron Tshibola,4753.0,Right Foot,Goal,42.0,L
3922240,African Cup of Nations,2023,5,128,True,7.0,Egypt,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Foot,Goal,38.3,R
3922240,African Cup of Nations,2023,5,129,True,6.0,Congo DR,Gedeon Kalulu Kyatengwa,30193.0,Right Foot,Goal,42.9,L
3922240,African Cup of Nations,2023,5,130,True,8.0,Egypt,Mostafa Fathi,68755.0,Left Foot,Goal,42.7,L
3922240,African Cup of Nations,2023,5,131,True,7.0,Congo DR,Chancel Mbemba Mangulu,3044.0,Right Foot,Goal,41.4,C
3922240,African Cup of Nations,2023,5,132,True,9.0,Egypt,Mahmoud Hamada,67728.0,Right Foot,Goal,37.0,R
3922240,African Cup of Nations,2023,5,132,True,8.0,Congo DR,Henoc Inonga Baka,105946.0,Right Foot,Goal,37.0,R
3922240,African Cup of Nations,2023,5,133,True,10.0,Egypt,Mohamed Abougabal,66879.0,Right Foot,Post,37.0,R
3922240,African Cup of Nations,2023,5,134,True,9.0,Congo DR,Lionel Mpasi-Nzau,35413.0,Right Foot,Goal,42.8,L
3920407,African Cup of Nations,2023,1,13,False,,South Africa,Percy Tau,29367.0,Left Foot,Goal,43.0,L
3920402,African Cup of Nations,2023,2,70,False,,Burkina Faso,Bertrand Isidore Traoré,2956.0,Left Foot,Goal,41.0,C
3920405,African Cup of Nations,2023,1,41,False,,Congo DR,Cédric Bakambu,6862.0,Right Foot,Post,36.1,R
3922658,African Cup of Nations,2023,5,120,True,1.0,Cape Verde Islands,Tiago Manuel Dias Correia,7900.0,Right Foot,Saved,36.9,R
3922658,African Cup of Nations,2023,5,121,True,1.0,South Africa,Teboho Mokoena,66716.0,Right Foot,Goal,37.7,R
